City,Airport,Lat,Lon
"Patuxent River, United States",NHK,38.285981,-76.411781
"Palacios, United States",PSX,28.727508,-96.250958
"Blytheville, United States",BYH,35.964347,-89.943956
"Atlantic City, United States",ACY,39.457583,-74.577167
"Oklahoma City, United States",TIK,35.414739,-97.386633
"Elizabeth City, United States",ECG,36.260581,-76.174572
"Pueblo, United States",PUB,38.289085,-104.496572
"Presque Isle, United States",PQI,46.688958,-68.044797
"Kirtland A.f.b., United States",IKR,35.040222,-106.609194
"Fort Lewis, United States",GRF,47.079217,-122.580783
"Kodiak, United States",ADQ,57.749967,-152.493856
"Opolu, United States",UPP,20.265256,-155.859989
"Fort Lauderdale, United States",FLL,26.072583,-80.15275
"Muskogee, United States",MKO,35.656489,-95.366656
"International Falls, United States",INL,48.566186,-93.403067
"Salt Lake City, United States",SLC,40.788389,-111.977772
"Childress, United States",CDS,34.433781,-100.287992
"Biloxi, United States",BIX,30.410425,-88.924433
"Fort Benning, United States",LSF,32.337322,-84.991283
"Kingsville, United States",NQI,27.507223,-97.809723
"Fort Riley, United States",FRI,39.055275,-96.764453
"Harrisburg, United States",MDT,40.193494,-76.763403
"Lincoln, United States",LNK,40.850971,-96.75925
"Lansing, United States",LAN,42.7787,-84.587357
"Kamuela, United States",MUE,20.001328,-155.668108
"Massena, United States",MSS,44.935833,-74.845547
"Hickory, United States",HKY,35.741147,-81.38955
"St. Petersburg, United States",SPG,27.765111,-82.626972
"Fort Myers, United States",FMY,26.586611,-81.86325
"Houston, United States",IAH,29.984433,-95.341442
"Millinocket, United States",MLT,45.647836,-68.685561
"Camp Springs, United States",ADW,38.810806,-76.867028
"Winston-salem, United States",INT,36.133722,-80.222
"Victorville, United States",VCV,34.597453,-117.382997
"Crestview, United States",CEW,30.778833,-86.522111
"Fort Drum, United States",GTB,44.055619,-75.719458
"Port Huron, United States",PHN,42.910957,-82.528862
"Bakersfield, United States",BFL,35.433598,-119.05677
"El Paso, United States",ELP,31.80725,-106.377583
"Harlingen, United States",HRL,26.2285,-97.654389
"Columbia, United States",CAE,33.938833,-81.119528
"Tucson, United States",DMA,32.166467,-110.883144
"Pensacola, United States",NPA,30.352656,-87.318647
"Pensacola, United States",PNS,30.473425,-87.186611
"Red River, United States",RDR,47.961098,-97.401194
"Houston, United States",HOU,29.645419,-95.278889
"Buckley, United States",BKF,39.701668,-104.75166
"Northway, United States",ORT,62.961334,-141.929136
"Palmer, United States",PAQ,61.594914,-149.088711
"Pittsburgh, United States",PIT,40.491467,-80.232872
"Barrow, United States",BRW,71.285446,-156.766003
"Houston, United States",EFD,29.607333,-95.15875
"Whidbey Island, United States",NUW,48.351803,-122.655906
"Alice, United States",ALI,27.740889,-98.026944
"Valdosta, United States",VAD,30.967833,-83.193
"Miami, United States",MIA,25.79325,-80.290556
"Seattle, United States",SEA,47.449,-122.309306
"Chattanooga, United States",CHA,35.035278,-85.203808
"Stratford, United States",BDR,41.163472,-73.126167
"Jackson, United States",JAN,32.311167,-90.075889
"Galveston, United States",GLS,29.265322,-94.860406
"Long Beach, United States",LGB,33.817722,-118.151611
"Dillingham, United States",HDH,21.579475,-158.197281
"Williamsport, United States",IPT,41.241836,-76.921094
"Indianapolis, United States",IND,39.717331,-86.294383
"Knobnoster, United States",SZL,38.730306,-93.547864
"Akron, United States",AKC,41.0375,-81.466917
"Greenwood, United States",GWO,33.494328,-90.084706
"White Plains, United States",HPN,41.066959,-73.707575
"West Hampton Beach, United States",FOK,40.843656,-72.631789
"Jonesboro, United States",JBR,35.831708,-90.646417
"Tonopah, United States",TNX,37.798836,-116.78075
"West Palm Beach, United States",LNA,26.593,-80.085056
"San Diego, United States",NZY,32.699219,-117.21531
"El Paso, United States",BIF,31.849528,-106.380039
"Yuma, United States",YUM,32.656578,-114.60598
"Carlsbad, United States",CNM,32.337472,-104.263278
"Duluth, United States",DLH,46.842091,-92.193649
"Bethel, United States",BET,60.779778,-161.838
"Louisville, United States",LOU,38.228,-85.663722
"Fort Huachuca, United States",FHU,31.588472,-110.344389
"Lihue, United States",LIH,21.975983,-159.338958
"Terre Haute, United States",HUF,39.451464,-87.307561
"Havre, United States",HVR,48.542983,-109.762342
"Grant County Airport, United States",MWH,47.207708,-119.32019
"Montpelier, United States",MPV,44.203503,-72.562328
"Richmond, United States",RIC,37.505167,-77.319667
"Shreveport, United States",SHV,32.446629,-93.8256
"Cordova, United States",CDV,60.491778,-145.477556
"Norfolk, United States",ORF,36.894611,-76.201222
"Beaumont, United States",BPT,29.950833,-94.020694
"Savannah, United States",SAV,32.127583,-81.202139
"Ogden, United States",HIF,41.123939,-111.973039
"Nome, United States",OME,64.512203,-165.445247
"San Luis, United States",SPB,45.771028,-122.861833
"St. Petersburg, United States",PIE,27.910167,-82.687389
"Macon, United States",MNM,45.12665,-87.638443
"Conroe, United States",CXO,30.351833,-95.414467
"Deadhorse, United States",SCC,70.19475,-148.465167
"San Antonio, United States",SAT,29.533694,-98.469778
"Rochester, United States",ROC,43.118866,-77.672389
"Coco Beach, United States",COF,28.234922,-80.610125
"Teterboro, United States",TEB,40.850103,-74.060837
"Rapid City, United States",RCA,44.145042,-103.103567
"Raleigh-durham, United States",RDU,35.877639,-78.787472
"Dayton, United States",DAY,39.902375,-84.219375
"Kenai, United States",ENA,60.573111,-151.245
"Mcalester, United States",MLC,34.882403,-95.783463
"Niagara Falls, United States",IAG,43.107333,-78.946194
"Bryan, United States",CFD,30.715694,-96.331361
"Newport News, United States",PHF,37.131894,-76.492989
"Alexandria, United States",ESF,31.394903,-92.295772
"Altus, United States",LTS,34.667067,-99.266681
"Tucson, United States",TUS,32.116083,-110.941028
"Minot, United States",MIB,48.415572,-101.357661
"Marysville, United States",BAB,39.136089,-121.436567
"Kankakee, United States",IKK,41.071389,-87.846278
"Goldsboro, United States",GSB,35.339383,-77.960589
"Providence, United States",PVD,41.732581,-71.420383
"Salisbury, United States",SBY,38.340525,-75.510289
"Rancho Murieta, United States",RIU,38.486778,-121.102778
"Burbank, United States",BUR,34.200667,-118.358667
"Detroit, United States",DTW,42.212444,-83.353389
"Tampa, United States",TPA,27.975472,-82.53325
"Pembina, United States",PMB,48.942501,-97.240833
"Fort Polk, United States",POE,31.044833,-93.191667
"Fairbanks, United States",EIL,64.665667,-147.1015
"Hibbing, United States",HIB,47.3866,-92.838994
"Lufkin, United States",LFK,31.234014,-94.75
"Midland, United States",MAF,31.942528,-102.201914
"Green Bay, United States",GRB,44.485072,-88.129589
"Ardmore, United States",ADM,34.300833,-97.008889
"Wrightstown, United States",WRI,40.015556,-74.591667
"Cherry Point, United States",NKT,34.900872,-76.880733
"Santa Barbara, United States",SBO,32.609139,-82.369944
"Bush Field, United States",AGS,33.369944,-81.9645
"Williston, United States",ISN,48.177939,-103.642347
"Little Rock, United States",LIT,34.729444,-92.224306
"Newburgh, United States",SWF,41.504094,-74.104839
"Baudette, United States",BDE,48.728444,-94.612222
"Sacramento, United States",SAC,38.512524,-121.49347
"Homer, United States",HOM,59.645556,-151.476583
"Fort Leonardwood, United States",TBN,37.741631,-92.140736
"Marietta, United States",MGE,33.915382,-84.516319
"Spokane, United States",SKA,47.615058,-117.655772
"Houghton Lake, United States",HTL,44.359806,-84.671112
"Panama City, United States",PAM,30.069567,-85.575417
"Dallas-Fort Worth, United States",DFW,32.896828,-97.037997
"Melbourne, United States",MLB,28.102753,-80.645258
"Tacoma, United States",TCM,47.137678,-122.476475
"Austin, United States",AUS,30.194528,-97.669889
"Columbus, United States",LCK,39.813786,-82.927822
"Knoxville, United States",TYS,35.810972,-83.994028
"Fort Hood, United States",HLR,31.138731,-97.714469
"St. Louis, United States",STL,38.748697,-90.370028
"Millville, United States",MIV,39.367806,-75.072222
"Wichita Falls, United States",SPS,33.988797,-98.491894
"Cincinnati, United States",LUK,39.103333,-84.418611
"Atlanta, United States",ATL,33.636719,-84.428067
"Merced, United States",MER,37.380481,-120.568189
"Sacramento, United States",MCC,38.667639,-121.400611
"Grand Rapids, United States",GRR,42.880833,-85.522806
"Wink, United States",INK,31.779628,-103.201361
"Fresno, United States",FAT,36.776194,-119.71814
"Vero Beach, United States",VRB,27.655556,-80.417944
"Imperial, United States",IPL,32.834219,-115.578744
"Nashville, United States",BNA,36.124472,-86.678194
"Laredo, United States",LRD,27.54375,-99.461556
"Anchorage, United States",EDF,61.250986,-149.806503
"Kotzebue, United States",OTZ,66.884678,-162.59855
"Altoona, United States",AOO,40.296372,-78.320022
"Abilene, United States",DYS,32.420756,-99.8546
"El Dorado, United States",ELD,33.220972,-92.813278
"New York, United States",LGA,40.777245,-73.872608
"Tallahassee, United States",TLH,30.396528,-84.350333
"West Chicago, United States",DPA,41.907778,-88.248611
"Waco, United States",ACT,31.611289,-97.230519
"Augusta, United States",AUG,44.320647,-69.797317
"Hillsboro, United States",INJ,32.083486,-97.097228
"Jacksonville, United States",NIP,30.235834,-81.680556
"Jackson, United States",MKL,35.599889,-88.915611
"Molokai, United States",MKK,21.152886,-157.096256
"Fort Knox, United States",FTK,37.907058,-85.972106
"San Angelo, United States",SJT,31.35775,-100.496306
"Calexico, United States",CXL,32.669502,-115.51333
"Chico, United States",CIC,39.795383,-121.858422
"Burlington, United States",BTV,44.471861,-73.153278
"Jacksonville, United States",JAX,30.494056,-81.687861
"Durango, United States",DRO,37.151516,-107.75377
"Washington, United States",IAD,38.944533,-77.455811
"College Station, United States",CLL,30.588583,-96.363833
"Spokane, United States",SFF,47.682819,-117.322558
"Milwaukee, United States",MKE,42.947222,-87.896583
"Abilene, United States",ABI,32.411319,-99.681897
"Columbia, United States",COU,38.818094,-92.219631
"Portland, United States",PDX,45.588722,-122.5975
"Miami, United States",TNT,25.861806,-80.897
"West Palm Beach, United States",PBI,26.683161,-80.095589
"Fort Worth, United States",FTW,32.819778,-97.362444
"Ogdensburg, United States",OGS,44.681854,-75.4655
"Falmouth, United States",FMH,41.658439,-70.521417
"Seattle, United States",BFI,47.53,-122.301947
"San Antonio, United States",SKF,29.384228,-98.581108
"Honolulu, United States",HNL,21.318681,-157.922428
"Des Moines, United States",DSM,41.533972,-93.663083
"New Bern, United States",EWN,35.072972,-77.042944
"San Diego, United States",SAN,32.733556,-117.189667
"Monroe, United States",MLU,32.510864,-92.037689
"Sumter, United States",SSC,33.972719,-80.470564
"Ontario, United States",ONT,34.056,-117.601194
"Greenvile, United States",GVT,33.067839,-96.065333
"Roswell, United States",ROW,33.301556,-104.530556
"Detroit, United States",DET,42.409195,-83.009861
"Brownsville, United States",BRO,25.906833,-97.425861
"Dothan, United States",DHN,31.321339,-85.449628
"Wildwood, United States",WWD,39.008507,-74.908275
"Fallon, United States",NFL,39.416584,-118.70098
"Mount Clemens, United States",MTC,42.608333,-82.8355
"Farmington, United States",FMN,36.74125,-108.229944
"Corpus Christi, United States",CRP,27.770361,-97.501222
"Syracuse, United States",SYR,43.111187,-76.106311
"Key West, United States",NQX,24.575834,-81.688889
"Chicago, United States",MDW,41.785972,-87.752417
"San Jose, United States",SJC,37.3626,-121.929022
"Hobbs, United States",HOB,32.687528,-103.217028
"Philadelphia, United States",PNE,40.081944,-75.010586
"Denver, United States",DEN,39.861656,-104.673178
"Philadelphia, United States",PHL,39.871944,-75.241139
"Sioux City, United States",SUX,42.402603,-96.384367
"Macon, United States",MCN,32.69285,-83.649211
"Truth Or Consequences, United States",TCS,33.236944,-107.27175
"Palmdale, United States",PMD,34.629391,-118.08456
"San Antonio, United States",RND,29.529675,-98.2789
"El Centro, United States",NJK,32.829222,-115.671667
"Columbus, United States",CMH,39.997972,-82.891889
"Fayetteville, United States",FYV,36.005094,-94.170059
"Fort Sill, United States",FSI,34.649833,-98.402167
"Princeton, United States",PNM,45.559868,-93.608217
"Dayton, United States",FFO,39.826111,-84.048332
"Galena, United States",GAL,64.736178,-156.937417
"Mineral Wells, United States",MWL,32.781606,-98.060175
"Wichita, United States",IAB,37.621853,-97.268192
"New Orleans, United States",NBG,29.825333,-90.035
"Beaufort, United States",BFT,32.477411,-80.723161
"Texarkana, United States",TXK,33.453722,-93.991028
"Plattsburgh, United States",PBG,44.650944,-73.468139
"Aberdeen, United States",APG,39.466219,-76.168808
"Tucumcari, United States",TCC,35.182777,-103.603186
"Anchorage, United States",ANC,61.174361,-149.996361
"Killeen, United States",GRK,31.06725,-97.828917
"Zuni Pueblo, United States",ZUN,35.083228,-108.791778
"Bellingham, United States",BLI,48.792694,-122.537528
"Millington, United States",NQA,35.356667,-89.870278
"Elkins, United States",EKN,38.889444,-79.857139
"Hartford, United States",HFD,41.736722,-72.649444
"Smithfield, United States",SFZ,41.920764,-71.491381
"Mobile, United States",MOB,30.691231,-88.242814
"Mountain View, United States",NUQ,37.416142,-122.049139
"Santa Fe, United States",SAF,35.617108,-106.089422
"Barking Sands, United States",BKH,22.022833,-159.785
"Deridder, United States",DRI,30.831722,-93.339917
"Bradshaw Field, United States",BSF,19.760056,-155.553717
"Nogales, United States",OLS,31.417722,-110.84789
"Tampa, United States",MCF,27.849339,-82.521214
"Belleville, United States",BLV,38.545178,-89.835183
"Miami, United States",OPF,25.907,-80.278389
"Del Rio, United States",DRT,29.374208,-100.927158
"Fort Myers, United States",RSW,26.536167,-81.755167
"King Salmon, United States",AKN,58.676778,-156.649278
"Muir, United States",MUI,40.434811,-76.569411
"Lahania-kapalua, United States",JHM,20.962936,-156.673031
"New York, United States",JFK,40.639751,-73.778925
"Homestead, United States",HST,25.48855,-80.383567
"Riverside, United States",RAL,33.951875,-117.445103
"Fort Leavenworth, United States",FLV,39.368332,-94.914686
"Wallops Island, United States",WAL,37.940194,-75.466389
"Alamogordo, United States",HMN,32.852519,-106.106525
"Willow Grove, United States",NXX,40.199833,-75.148167
"Cheyenne, United States",CYS,41.155722,-104.811839
"Stockton, United States",SCK,37.894167,-121.238306
"Charleston, United States",CHS,32.898647,-80.040528
"Reno, United States",RNO,39.499108,-119.768108
"Ketchikan, United States",KTN,55.355556,-131.71375
"Detroit, United States",YIP,42.237928,-83.530408
"Lompoc, United States",VBG,34.737333,-120.584306
"Birmingham, United States",BHM,33.562942,-86.75355
"Lakehurst, United States",NEL,40.033333,-74.353333
"Shemya, United States",SYA,52.712275,174.11362
"Las Vegas, United States",LSV,36.236197,-115.034253
"Riverside, United States",RIV,33.880711,-117.259453
"Modesto, United States",MOD,37.625817,-120.954422
"Sacramento, United States",SMF,38.695417,-121.590778
"Chicago, United States",UGN,42.422161,-87.867908
"Colorado Springs, United States",COS,38.805805,-104.700778
"Buffalo, United States",BUF,42.940525,-78.732167
"Sandusky, United States",SKY,41.433361,-82.652333
"Everett, United States",PAE,47.906342,-122.281564
"Mountain Home, United States",MUO,43.043603,-115.872431
"Cedar City, United States",CDC,37.700967,-113.098847
"Windsor Locks, United States",BDL,41.938889,-72.683222
"Mcallen, United States",MFE,26.175833,-98.238611
"Norfolk, United States",NGU,36.937644,-76.289289
"Chicopee Falls, United States",CEF,42.194014,-72.534783
"Lubbock, United States",LBB,33.663639,-101.822778
"Chicago, United States",ORD,41.978603,-87.904842
"Boca Raton, United States",BCT,26.3785,-80.107694
"Fairbanks, United States",FAI,64.815114,-147.856267
"Quantico, United States",NYG,38.501683,-77.305333
"Clovis, United States",CVS,34.382775,-103.322147
"Kaneohe Bay, United States",NGF,21.450453,-157.768
"Omaha, United States",OFF,41.118332,-95.912511
"Gulkana, United States",GKN,62.154888,-145.456639
"Watertown, United States",ART,43.991922,-76.021739
"Palm Springs, United States",PSP,33.829667,-116.506694
"Amarillo, United States",AMA,35.219369,-101.705931
"Fort Dodge, United States",FOD,42.5512,-94.191842
"Shreveport, United States",BAD,32.50182,-93.662674
"Topeka, United States",FOE,38.950944,-95.663611
"Cotulla, United States",COT,28.456694,-99.220294
"Wilmington, United States",ILM,34.270615,-77.902569
"Baton Rouge, United States",BTR,30.533167,-91.149639
"Meridian, United States",NMM,32.552083,-88.555557
"Tyler, United States",TYR,32.354139,-95.402386
"Baltimore, United States",BWI,39.175361,-76.668333
"Hobart, United States",HBR,34.991308,-99.051353
"Lanai, United States",LNY,20.785611,-156.951419
"Alexandria, United States",AEX,31.3274,-92.549833
"White Sands, United States",WSD,32.341484,-106.40277
"Cold Bay, United States",CDB,55.206061,-162.725436
"Tulsa, United States",TUL,36.198389,-95.888111
"Sitka, United States",SIT,57.047138,-135.361611
"Islip, United States",ISP,40.79525,-73.100222
"Minneapolis, United States",MSP,44.881956,-93.221767
"Wilmington, United States",ILG,39.678722,-75.606528
"Unalaska, United States",DUT,53.900139,-166.5435
"New Orleans, United States",MSY,29.993389,-90.258028
"Portland, United States",PWM,43.646161,-70.309281
"Oklahoma City, United States",OKC,35.393089,-97.600733
"Albany, United States",ALB,42.748267,-73.801692
"Valdez, United States",VDZ,61.133949,-146.248342
"Hampton, United States",LFI,37.082881,-76.360547
"Santa Ana, United States",SNA,33.675667,-117.868222
"Colombus, United States",CBM,33.643833,-88.443833
"Kendall-tamiami, United States",TMB,25.647889,-80.432777
"Oceana, United States",NTU,36.820703,-76.033542
"Peru, United States",GUS,40.648094,-86.152119
"Casper, United States",CPR,42.908,-106.464417
"Valparaiso, United States",VPS,30.48325,-86.5254
"Selma, United States",SEM,32.343947,-86.987803
"Key West, United States",EYW,24.556111,-81.759556
"Charlotte, United States",CLT,35.214,-80.943139
"Las Vegas, United States",LAS,36.080056,-115.15225
"Orlando, United States",MCO,28.429394,-81.308994
"Florence, United States",FLO,34.185361,-79.723889
"Great Falls, United States",GTF,47.482,-111.370689
"Youngstown, United States",YNG,41.260736,-80.679097
"Fort Wainwright, United States",FBK,64.8375,-147.614444
"Mackminnville, United States",MMV,45.194444,-123.135944
"Macon, United States",WRB,32.640144,-83.59185
"Pullman, United States",PUW,46.743861,-117.109583
"Lewiston, United States",LWS,46.3745,-117.015389
"Elmira, United States",ELM,42.159889,-76.891611
"Ithaca, United States",ITH,42.491028,-76.458444
"Monterey, United States",MRY,36.587,-121.842944
"Santa Barbara, United States",SBA,34.426211,-119.840372
"Daytona Beach, United States",DAB,29.179917,-81.058056
"New York, United States",JRB,40.701214,-74.009028
"Talkeetna, United States",TKA,62.3205,-150.093694
"New Haven, United States",HVN,41.26375,-72.886806
"Asheville, United States",AVL,35.436194,-82.541806
"Greensboro, United States",GSO,36.09775,-79.937306
"Sioux Falls, United States",FSD,43.582014,-96.741914
"Manchester NH, United States",MHT,42.932556,-71.435667
"Naples, United States",APF,26.152619,-81.775294
"Louisville, United States",SDF,38.1740858,-85.7364989
"Charlottesville VA, United States",CHO,38.138639,-78.452861
"Roanoke VA, United States",ROA,37.325472,-79.975417
"Lexington KY, United States",LEX,38.0365,-84.605889
"Evansville, United States",EVV,38.036997,-87.532364
"Albuquerque, United States",ABQ,35.0402222,-106.6091944
"Bozeman, United States",BZN,45.777643,-111.160151
"Billings, United States",BIL,45.80921,-108.537654
"Butte, United States",BTM,45.954806,-112.497472
"Traverse City, United States",TVC,44.741445,-85.582235
"Bar Harbor, United States",BHB,44.4497689,-68.3615653
"Rockland, United States",RKD,44.0601111,-69.0992303
"Jacksn Hole, United States",JAC,43.607333333,-110.73775
"Rockford, United States",RFD,42.1953611,-89.0972222
"New York, United States",TSS,40.7425,-73.971944
"Greenville, United States",GSP,34.895556,-82.218889
"Bloomington, United States",BMI,40.477111,-88.915917
"Gulfport, United States",GPT,30.407278,-89.070111
"Kalamazoo, United States",AZO,42.234875,-85.552058
"Toledo, United States",TOL,41.586806,-83.807833
"Fort Wayne, United States",FWA,40.978472,-85.195139
"Decatur, United States",DEC,39.834564,-88.865689
"Cedar Rapids, United States",CID,41.884694,-91.710806
"La Crosse, United States",LSE,43.878986,-91.256711
"Wassau, United States",CWA,44.772726,-89.646635
"Peoria, United States",PIA,40.664203,-89.693258
"Appleton, United States",ATW,44.257526,-88.507576
"Rochester, United States",RST,43.908283,-92.500014
"Champaign, United States",CMI,40.03925,-88.278056
"Manhattan, United States",MHK,39.140972,-96.670833
"Franklin, United States",FKL,41.377874,-79.860362
"Grand Junction, United States",GJT,39.122413,-108.526735
"Saint George, United States",SGU,37.090583,-113.593056
"Houston, United States",DWH,30.063746,-95.554276
"Port O\\'Connor, United States",S46,28.429977,-96.442859
"Sarasota, United States",SRQ,27.395444,-82.554389
"Van Nuys, United States",VNY,34.209811,-118.489972
"Titusville, United States",X21,28.622552,-80.83541
"Moline, United States",MLI,41.448528,-90.507539
"Panama City, United States",PFN,30.212083,-85.682806
"Orlando, United States",DWS,28.398,-81.57
